rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
11,12/29/2000,498,224,93,INTERN,12/31/2004,C,0.89,1.06,"1,685,243",0,724,"1,901,170",0,"618,034","653,595","71,827",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2005,D,0.86,0.63,"1,644,667","12,894","1,833","1,901,005",0,"399,845","712,263","78,059",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2006,F,0.8,0.39,"1,547,160","69,879","3,317","1,846,838",0,"239,194","722,888","112,530",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2007,D,0.92,0.41,"1,628,905","58,960","3,202","1,711,882",0,"247,538","726,172","120,989",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2008,B,1.03,0.39,"1,796,511","35,304","2,111","1,707,488",0,"211,229","667,701","130,084",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2009,C,0.98,0.41,"1,725,822","48,962",867,"1,711,302",0,"230,509","696,128","139,863",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2010,C,0.94,0.39,"1,670,976","58,770",394,"1,710,977",0,"218,678","708,415","150,377",0,"173,826","173,826",,,,,0,,,2,7,2,,"173,826",174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2001,D,0,0.42,"192,086","26,282","12,415",0,0,"562,198","1,349,665","21,359",0,"102,430","102,430",,,,,"85,360","85,360",,3,4,0,"51,340","102,430",88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2002,A,0.98,3.07,"450,252","36,838","2,998","419,251",0,"815,594","468,876","26,961","176,285","102,430","102,430",,,,,"85,360","85,360",,3,4,0,"51,340","102,430",88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2003,C,0.63,1.36,"311,252","30,016","9,966","429,235",0,"583,726","453,026","25,232",0,"102,430","102,430",,,,,"85,360","85,360",,3,4,0,"51,340","102,430",88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
