@relation train_splitted

@ATTRIBUTE Loan_Closed_Days_Since REAL
@ATTRIBUTE Census_Block_Order_Key REAL
@ATTRIBUTE Foa_Mgmt_Co_Dim_Key REAL
@ATTRIBUTE Owner_Key REAL
@ATTRIBUTE Stmt_Days_Since REAL
@ATTRIBUTE Total_Total_Funds_Flow_Prior_To_Ce__DS REAL
@ATTRIBUTE Total_Replacement_Reserve_Reimbursements REAL
@ATTRIBUTE Total_Interest_Income_Earned_On_RR_And_Special_Escrow REAL
@ATTRIBUTE Total_Gross_Debt_Service__Mortgage REAL
@ATTRIBUTE Total_Gross_Debt_Service__Energy_Loans REAL
@ATTRIBUTE Total_Current_Assets REAL
@ATTRIBUTE Total_Current_Liabilities REAL
@ATTRIBUTE Current_Portion_Of_Mortgage_Payable REAL
@ATTRIBUTE Notes__Advances__Due_Within_1_Year REAL
@ATTRIBUTE Gross_Sf_Residential REAL
@ATTRIBUTE Gross_Sf_Residential_Communal REAL
@ATTRIBUTE Gross_Sf_Residential_Noncommunal REAL
@ATTRIBUTE Gross_Sf_Commercial REAL
@ATTRIBUTE Gross_Sf_Unfinished_Space REAL
@ATTRIBUTE Gross_Sf_Parking_Structure REAL
@ATTRIBUTE Square_Footage_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Residential_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Commercial_Net_Rentable REAL
@ATTRIBUTE Number_Of_Buildings REAL
@ATTRIBUTE Number_Of_Predominant_Stories REAL
@ATTRIBUTE Number_Of_Elevators REAL
@ATTRIBUTE Total_Gross_Sf_Land REAL
@ATTRIBUTE Total_Gross_Sf_Buildings REAL
@ATTRIBUTE Total_Rental_Units REAL
@ATTRIBUTE Low_Income_Rental_Units REAL
@ATTRIBUTE Moderate_Income_Rental_Units REAL
@ATTRIBUTE Market_Rate_Rental_Units REAL
@ATTRIBUTE Non_Revenue_Rental_Units REAL
@ATTRIBUTE Elderly_Restricted_Rental_Units REAL
@ATTRIBUTE Unrestricted_Rental_Units REAL
@ATTRIBUTE Student_Rental_Units REAL
@ATTRIBUTE Other_Restricted_Rental_Units REAL
@ATTRIBUTE Fully_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Partially_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Average_Bedroom_Density REAL
@ATTRIBUTE Studio_Rental_Units REAL
@ATTRIBUTE One_Bedroom_Rental_Units REAL
@ATTRIBUTE Two_Bedroom_Rental_Units REAL
@ATTRIBUTE Three_Bedroom_Rental_Units REAL
@ATTRIBUTE Four_Bedroom_Rental_Units REAL
@ATTRIBUTE Five_Bedroom_Rental_Units REAL
@ATTRIBUTE Six_Bedroom_Rental_Units REAL
@ATTRIBUTE Is_Detail_Code_236DEC REAL
@ATTRIBUTE Is_Detail_Code_DISPA REAL
@ATTRIBUTE Is_Detail_Code_ELDER REAL
@ATTRIBUTE Is_Detail_Code_INTERN REAL
@ATTRIBUTE Is_Detail_Code_M2W REAL
@ATTRIBUTE Is_Detail_Code_M2WDEC REAL
@ATTRIBUTE Is_Detail_Code_MISC REAL
@ATTRIBUTE Is_Detail_Code_OPTION REAL
@ATTRIBUTE Is_Detail_Code_OSDEBT REAL
@ATTRIBUTE Is_Detail_Code_RAD REAL
@ATTRIBUTE Is_Detail_Code_RADDEC REAL
@ATTRIBUTE Is_Detail_Code_RDAL REAL
@ATTRIBUTE Is_Detail_Code_S8LMSA REAL
@ATTRIBUTE Is_Detail_Code_S8NCON REAL
@ATTRIBUTE Is_Detail_Code_S8SUBR REAL
@ATTRIBUTE Is_Detail_Code_SEC13A REAL
@ATTRIBUTE Is_Detail_Code_SEC236 REAL
@ATTRIBUTE Is_Detail_Code_SHARP REAL
@ATTRIBUTE Is_Detail_Code_SHRDAL REAL
@ATTRIBUTE Is_Detail_Code_SOFT REAL
@ATTRIBUTE Is_Detail_Code_TCRED4 REAL
@ATTRIBUTE Is_Detail_Code_TCRED9 REAL
@ATTRIBUTE Raw_Rm_Key STRING
@ATTRIBUTE Raw_Stmt_Date STRING
@ATTRIBUTE Financial_Rating {0, 1, 2, 3, 4}

@data
0.894528,0.664839,0.279528,0.980769,1,0.031186,0.001821,0.109016,0.009666,0.2559,0.004944,0.002865,0.001444,0.002601,0.017734,0.005406,0.016581,0,0,0.007237,0.031773,0.031773,0,0.011905,0.16,0.090909,0.008829,0.018905,0.045242,0.037419,0.032859,0,0,0.131111,0,0,0,0.230769,0,0.275,0,0.094306,0.009188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,715,6/30/1995,0
0.342782,0.061864,0.523622,0.262821,1,0.021719,0,0.103386,0.000716,0,0,0,0,0.001763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0.000839,0,0,0.015385,0,1,0,0,0,0,0.006993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,6/30/1995,1
0.342782,0.066562,0.523622,0.262821,1,0.021753,0,0.103386,0.000752,0,0,0,0,0.001763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0.000839,0,0,0.015385,0,1,0,0,0,0,0.006993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,6/30/1995,1
0.342782,0.09397,0.523622,0.262821,1,0.021809,0,0.103386,0.000783,0,0,0,0,0.001763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0.000839,0,0,0.015385,0,1,0,0,0,0,0.006993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,6/30/1995,1
1,0.804229,0.429134,0.519231,0.96527,0.021533,0,0.103978,0.000338,0,0.000528,0.000245,0.000152,0.001763,0.002901,0,0.002901,0,0,0,0,0.090105,0.037276,0.011905,0.08,0,0.001784,0.002901,0.00156,0.003871,0,0,0,0,0.002517,0,0,0,0,1,0,0,0.001531,0,0.006993,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,12/31/1995,0
0.995476,0.512138,0.779528,0.429487,0.96527,0.049687,0.040992,0.124215,0.034736,0,0.007266,0.024567,0.008023,0.001763,0.052421,0.055164,0.040656,0,0.522117,0,0.107579,0.10758,0,0.011905,0.48,0.272727,0.017404,0.058632,0.163807,0.068387,0.082147,0.093998,0,0.468889,0,0,0,0,0,0.205,0.393064,0.201068,0.045942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,12/31/1995,3
0.952425,0.617071,0.998031,0.512821,0.96527,0.030124,0.022782,0.108853,0.009023,0,0.003887,0.003958,0.001425,0.001763,0.021491,0.022916,0.016603,0,0,0.008286,0.04264,0.042639,0.000028,0.011905,0.28,0.181818,0.025511,0.022831,0.047582,0.015484,0,0.056625,0,0.082222,0.020973,0,0,0,0,0.3375,0.011561,0.071174,0.024502,0.019704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,12/31/1995,2
0.98367,0.348473,0.062992,0.717949,0.96527,0.135649,0.086468,0.622915,0.100939,0,0.171666,0.02664,0.01141,0.001763,0,0,0,0,0,0,0.379975,0.379975,0,0.214286,0.08,0,0.276196,0.140754,0.336193,0.557419,0,0,0,0,0.362416,0,0,0.307692,0,0.365,0.208092,0.320285,0.303216,0.08867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,638,12/31/1995,0
0.96423,0.646045,0.165354,0.769231,0.96527,0.050468,0.036039,0.17176,0.030011,0,0.016692,0.006333,0.002536,0.001763,0.039022,0,0.039022,0,0,0,0.08076,0.080761,0,0.071429,0.16,0,0.012698,0.039022,0.104524,0.11871,0,0.048698,0,0,0.113255,0,0,0,0,0.225,0.283237,0.108541,0.022971,0.049261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,645,12/31/1995,0
0.973703,0.803446,0.962598,0.935897,0.96527,0.03338,0.005077,0.115576,0.015525,0,0.008646,0.010404,0.004351,0.001763,0.027248,0.015777,0.023883,0,0,0,0.061259,0.061259,0,0.095238,0.12,0,0.01601,0.027248,0.067863,0.113548,0,0,0,0,0.073826,0,0,0,0,0.6525,0,0.005338,0.062787,0.152709,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,647,12/31/1995,1
